tweet,label
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
شرب عصير البصل يعالج الربو.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
شرب عصير البصل يعالج الربو.,misinformation
شرب عصير البصل يعالج الربو.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
شرب عصير البصل يعالج الربو.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
الكمون يزيل الحصى من الكلى تماماً.,misinformation
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
شرب عصير البصل يعالج الربو.,misinformation
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
المشروبات الغازية تنظف الكلى.,misinformation
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
الليمون الساخن يعالج السرطان.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
العكبر يقضي على فيروس كورونا فوراً.,misinformation
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
المشروبات الغازية تنظف الكلى.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
زيت الخروع يعالج السكري تماماً.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
الليمون الساخن يعالج السرطان.,misinformation
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
تناول العسل على الريق يعالج كورونا.,misinformation
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
تناول الخبز وحده يزيد المناعة.,misinformation
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
شرب عصير البصل يعالج الربو.,misinformation
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
الكمون يزيل الحصى من الكلى تماماً.,misinformation
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
تناول الخبز وحده يزيد المناعة.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
شرب الماء البارد يسبب النوبة القلبية.,misinformation
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
زيت الخروع يعالج السكري تماماً.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
شرب الماء البارد يسبب النوبة القلبية.,misinformation
الليمون الساخن يعالج السرطان.,misinformation
الكمون يزيل الحصى من الكلى تماماً.,misinformation
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
زيت الخروع يعالج السكري تماماً.,misinformation
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
شرب الماء البارد يسبب النوبة القلبية.,misinformation
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
فيتامين C يساعد على تقوية المناعة.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
المشروبات الغازية تنظف الكلى.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
زيت الخروع يعالج السكري تماماً.,misinformation
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
تناول الخبز وحده يزيد المناعة.,misinformation
شرب الحبة السوداء يشفي من السكري.,misinformation
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
